jam,jumlah_perjalanan,rata_jarak,rata_durasi,rata_tarif,median_tarif
0,75439,3.85,13.65,28.06,21.36
1,49953,3.29,12.33,25.28,20.52
2,34297,3.15,11.86,24.39,20.12
3,22179,3.53,12.02,25.91,20.5
4,14603,5.08,13.87,33.07,23.0
5,15586,6.4,15.48,38.51,23.0
6,40033,4.93,14.94,31.16,18.8
7,79331,3.71,14.69,26.95,18.52
8,109114,3.09,14.57,25.2,19.2
9,123080,3.11,14.67,25.7,19.32
10,132502,3.06,14.56,25.41,19.25
11,142397,3.01,14.73,25.38,19.3
12,154088,3.14,15.03,25.97,19.32
13,161173,3.38,15.74,27.12,19.32
14,174110,3.52,16.73,28.07,19.9
15,178199,3.37,16.85,27.46,19.6
16,180314,3.38,16.67,29.3,21.48
17,195473,3.16,15.99,28.24,21.48
18,204654,2.87,14.56,26.58,21.4
19,182077,3.17,14.12,27.41,21.39
20,157479,3.35,13.72,26.9,20.52
21,157207,3.49,13.66,27.32,20.6
22,145447,3.65,14.06,27.99,21.36
23,110462,3.97,14.27,29.17,22.0
